target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
864000,36,37,0,2,PO4,2.260251857,2.525024217,0.08571428571
1209600,1,2,0,2,PO4,0.3713270907,2.525024217,0.08333333333
1209600,13,14,0,2,PO4,0.06457862448,2.525024217,0.04166666667
1209600,36,37,0,2,PO4,1.598320956,2.525024217,0.08571428571
1209600,45,46,0,2,PO4,0.129157249,2.525024217,0.125
1209600,58,59,0,2,PO4,0.3228931224,2.525024217,0.02941176471
1209600,79,80,0,2,PO4,1.598320956,2.525024217,0.04347826087
3196800,58,59,0,2,PO4,1.614465612,2.525024217,0.02941176471
3283200,23,24,0,2,PO4,1.614465612,2.525024217,0.0652173913
3283200,36,37,0,2,PO4,2.260251857,2.525024217,0.08571428571
3628800,1,2,0,2,PO4,0.3067484663,2.525024217,0.08333333333
3628800,13,14,0,2,PO4,1.340006458,2.525024217,0.04166666667
3628800,36,37,0,2,PO4,0.4197610591,2.525024217,0.08571428571
3628800,45,46,0,2,PO4,0.4197610591,2.525024217,0.125
3628800,58,59,0,2,PO4,0.5650629642,2.525024217,0.02941176471
3628800,79,80,0,2,PO4,1.275427833,2.525024217,0.04347826087
4406400,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
4492800,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
4492800,36,37,0,2,PO4,1.29157249,2.525024217,0.08571428571
4838400,13,14,0,2,PO4,1.162415241,2.525024217,0.04166666667
4838400,79,80,0,2,PO4,1.695188892,2.525024217,0.04347826087
5702400,23,24,0,2,PO4,1.29157249,2.525024217,0.0652173913
5702400,36,37,0,2,PO4,0.9686793671,2.525024217,0.08571428571
5788800,58,59,0,2,PO4,1.614465612,2.525024217,0.02941176471
6307200,13,14,0,2,PO4,1.130125928,2.525024217,0.04166666667
6307200,79,80,0,2,PO4,1.888924766,2.525024217,0.04347826087
6912000,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
6998400,23,24,0,2,PO4,1.614465612,2.525024217,0.0652173913
