target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
1209600,58,59,0,3,NH4,6.245538901,76.23126338,0.02857142857
1209600,79,80,0,3,NH4,3.104925054,76.23126338,0.04166666667
3196800,58,59,0,3,NH4,12.13418986,76.23126338,0.02857142857
3283200,23,24,0,3,NH4,19.98572448,76.23126338,0.0652173913
3283200,36,37,0,3,NH4,29.26481085,76.23126338,0.08571428571
3628800,1,2,0,3,NH4,3.104925054,76.23126338,0.08333333333
3628800,13,14,0,3,NH4,14.73947181,76.23126338,0.04166666667
3628800,36,37,0,3,NH4,19.84296931,76.23126338,0.08571428571
3628800,45,46,0,3,NH4,22.09136331,76.23126338,0.125
3628800,58,59,0,3,NH4,16.73804425,76.23126338,0.02857142857
3628800,79,80,0,3,NH4,4.211277659,76.23126338,0.04166666667
4406400,58,59,0,3,NH4,11.42041399,76.23126338,0.02857142857
4492800,23,24,0,3,NH4,2.141327623,76.23126338,0.0652173913
4492800,36,37,0,3,NH4,11.42041399,76.23126338,0.08571428571
4838400,13,14,0,3,NH4,2.712348323,76.23126338,0.04166666667
4838400,79,80,0,3,NH4,6.852248394,76.23126338,0.04166666667
5702400,23,24,0,3,NH4,2.855103498,76.23126338,0.0652173913
5702400,36,37,0,3,NH4,6.423982869,76.23126338,0.08571428571
5788800,58,59,0,3,NH4,9.992862241,76.23126338,0.02857142857
6307200,13,14,0,3,NH4,0,76.23126338,0.04166666667
6307200,79,80,0,3,NH4,3.35474661,76.23126338,0.04166666667
6912000,58,59,0,3,NH4,35.68879372,76.23126338,0.02857142857
6998400,23,24,0,3,NH4,2.141327623,76.23126338,0.0652173913
6998400,36,37,0,3,NH4,2.855103498,76.23126338,0.08571428571
7344000,1,2,0,3,NH4,8.315488936,76.23126338,0.08333333333
7344000,13,14,0,3,NH4,3.211991435,76.23126338,0.04166666667
7344000,36,37,0,3,NH4,17.88008565,76.23126338,0.08571428571
7344000,45,46,0,3,NH4,16.4882227,76.23126338,0.125
7344000,58,59,0,3,NH4,12.77658815,76.23126338,0.02857142857
7344000,79,80,0,3,NH4,3.997144897,76.23126338,0.04166666667
8553600,23,24,0,3,NH4,1.427551749,76.23126338,0.0652173913
8553600,36,37,0,3,NH4,15.70306924,76.23126338,0.08571428571
8640000,58,59,0,3,NH4,5.710206995,76.23126338,0.02857142857
8726400,13,14,0,3,NH4,5.603140614,76.23126338,0.04166666667
8726400,79,80,0,3,NH4,10.49250535,76.23126338,0.04166666667
9763200,58,59,0,3,NH4,7.851534618,76.23126338,0.02857142857
9849600,36,37,0,3,NH4,23.55460385,76.23126338,0.08571428571
9936000,23,24,0,3,NH4,0,76.23126338,0.0652173913
10108800,1,2,0,3,NH4,5.317630264,76.23126338,0.08333333333
10108800,13,14,0,3,NH4,4.104211278,76.23126338,0.04166666667
10108800,36,37,0,3,NH4,14.13276231,76.23126338,0.08571428571
10108800,45,46,0,3,NH4,55.1034975,76.23126338,0.125
10108800,58,59,0,3,NH4,18.09421842,76.23126338,0.02857142857
10108800,79,80,0,3,NH4,2.819414704,76.23126338,0.04166666667
10972800,23,24,0,3,NH4,1.427551749,76.23126338,0.0652173913
10972800,36,37,0,3,NH4,24.26837973,76.23126338,0.08571428571
11059200,58,59,0,3,NH4,4.996431121,76.23126338,0.02857142857
11577600,13,14,0,3,NH4,4.675231977,76.23126338,0.04166666667
11577600,79,80,0,3,NH4,5.960028551,76.23126338,0.04166666667
12182400,23,24,0,3,NH4,3.568879372,76.23126338,0.0652173913
12182400,36,37,0,3,NH4,49.96431121,76.23126338,0.08571428571
12268800,58,59,0,3,NH4,14.98929336,76.23126338,0.02857142857
12787200,1,2,0,3,NH4,1.855817273,76.23126338,0.08333333333
12787200,13,14,0,3,NH4,2.069950036,76.23126338,0.04166666667
12787200,36,37,0,3,NH4,187.0092791,76.23126338,0.08571428571
12787200,45,46,0,3,NH4,159.8501071,76.23126338,0.125
12787200,58,59,0,3,NH4,46.75231977,76.23126338,0.02857142857
12787200,79,80,0,3,NH4,17.0592434,76.23126338,0.04166666667
13392000,23,24,0,3,NH4,3.568879372,76.23126338,0.0652173913
13392000,36,37,0,3,NH4,72.09136331,76.23126338,0.08571428571
13478400,58,59,0,3,NH4,14.98929336,76.23126338,0.02857142857
13996800,13,14,0,3,NH4,4.853675946,76.23126338,0.04166666667
13996800,79,80,0,3,NH4,8.815132049,76.23126338,0.04166666667
14601600,23,24,0,3,NH4,2.855103498,76.23126338,0.0652173913
14601600,36,37,0,3,NH4,44.96788009,76.23126338,0.08571428571
14688000,58,59,0,3,NH4,10.70663812,76.23126338,0.02857142857
15206400,1,2,0,3,NH4,0.7494646681,76.23126338,0.08333333333
15206400,13,14,0,3,NH4,1.070663812,76.23126338,0.04166666667
15206400,36,37,0,3,NH4,95.39614561,76.23126338,0.08571428571
15206400,45,46,0,3,NH4,61.42041399,76.23126338,0.125
15206400,58,59,0,3,NH4,25.83868665,76.23126338,0.02857142857
15206400,79,80,0,3,NH4,3.461812991,76.23126338,0.04166666667
15811200,58,59,0,3,NH4,16.41684511,76.23126338,0.02857142857
15897600,23,24,0,3,NH4,2.141327623,76.23126338,0.0652173913
15897600,36,37,0,3,NH4,37.11634547,76.23126338,0.08571428571
16502400,13,14,0,3,NH4,0.5353319058,76.23126338,0.04166666667
16502400,79,80,0,3,NH4,8.779443255,76.23126338,0.04166666667
17193600,58,59,0,3,NH4,19.27194861,76.23126338,0.02857142857
17280000,23,24,0,3,NH4,0,76.23126338,0.0652173913
17280000,36,37,0,3,NH4,65.66738044,76.23126338,0.08571428571
17712000,1,2,0,3,NH4,0,76.23126338,0.08333333333
17712000,13,14,0,3,NH4,0,76.23126338,0.04166666667
17712000,36,37,0,3,NH4,72.91220557,76.23126338,0.08571428571
17712000,45,46,0,3,NH4,198.9293362,76.23126338,0.125
17712000,58,59,0,3,NH4,74.08993576,76.23126338,0.02857142857
17712000,79,80,0,3,NH4,7.958600999,76.23126338,0.04166666667
18403200,58,59,0,3,NH4,10.70663812,76.23126338,0.02857142857
18489600,23,24,0,3,NH4,1.427551749,76.23126338,0.0652173913
18489600,36,37,0,3,NH4,44.96788009,76.23126338,0.08571428571
19094400,13,14,0,3,NH4,1.891506067,76.23126338,0.04166666667
19094400,79,80,0,3,NH4,6.887937188,76.23126338,0.04166666667
19612800,23,24,0,3,NH4,2.141327623,76.23126338,0.0652173913
19612800,36,37,0,3,NH4,69.95003569,76.23126338,0.08571428571
19612800,58,59,0,3,NH4,11.42041399,76.23126338,0.02857142857
20304000,1,2,0,3,NH4,0.9635974304,76.23126338,0.08333333333
20304000,13,14,0,3,NH4,0.2141327623,76.23126338,0.04166666667
20304000,36,37,0,3,NH4,135.5103498,76.23126338,0.08571428571
20304000,45,46,0,3,NH4,140.4710921,76.23126338,0.125
20304000,58,59,0,3,NH4,33.47608851,76.23126338,0.02857142857
20304000,79,80,0,3,NH4,5.28194147,76.23126338,0.04166666667
20736000,23,24,0,3,NH4,7.851534618,76.23126338,0.0652173913
20736000,36,37,0,3,NH4,49.25053533,76.23126338,0.08571428571
20822400,58,59,0,3,NH4,11.42041399,76.23126338,0.02857142857
21513600,13,14,0,3,NH4,1.391862955,76.23126338,0.04166666667
21513600,79,80,0,3,NH4,1.463240542,76.23126338,0.04166666667
22464000,58,59,0,3,NH4,17.13062099,76.23126338,0.02857142857
22550400,23,24,0,3,NH4,2.855103498,76.23126338,0.0652173913
22550400,36,37,0,3,NH4,52.10563883,76.23126338,0.08571428571
22809600,1,2,0,3,NH4,5.817273376,76.23126338,0.08333333333
22809600,13,14,0,3,NH4,8.493932905,76.23126338,0.04166666667
22809600,36,37,0,3,NH4,47.85867238,76.23126338,0.08571428571
22809600,45,46,0,3,NH4,83.5474661,76.23126338,0.125
22809600,58,59,0,3,NH4,29.01498929,76.23126338,0.02857142857
22809600,79,80,0,3,NH4,16.95217702,76.23126338,0.04166666667
23760000,36,37,0,3,NH4,64.95360457,76.23126338,0.08571428571
23760000,58,59,0,3,NH4,21.41327623,76.23126338,0.02857142857
23932800,23,24,0,3,NH4,6.423982869,76.23126338,0.0652173913
24278400,1,2,0,3,NH4,0.6780870807,76.23126338,0.08333333333
24278400,13,14,0,3,NH4,0.3568879372,76.23126338,0.04166666667
24278400,36,37,0,3,NH4,136.8308351,76.23126338,0.08571428571
24278400,45,46,0,3,NH4,129.9072091,76.23126338,0.125
24278400,58,59,0,3,NH4,47.57316203,76.23126338,0.02857142857
24278400,79,80,0,3,NH4,16.05995717,76.23126338,0.04166666667
25056000,23,24,0,3,NH4,3.568879372,76.23126338,0.0652173913
25056000,36,37,0,3,NH4,87.79443255,76.23126338,0.08571428571
25142400,58,59,0,3,NH4,21.41327623,76.23126338,0.02857142857
25488000,13,14,0,3,NH4,0.8565310493,76.23126338,0.04166666667
25488000,79,80,0,3,NH4,13.38329764,76.23126338,0.04166666667
26265600,58,59,0,3,NH4,18.55817273,76.23126338,0.02857142857
26352000,23,24,0,3,NH4,9.992862241,76.23126338,0.0652173913
26352000,36,37,0,3,NH4,92.07708779,76.23126338,0.08571428571
27129600,1,2,0,3,NH4,0,76.23126338,0.08333333333
27129600,13,14,0,3,NH4,1.177730193,76.23126338,0.04166666667
27129600,36,37,0,3,NH4,154.9607423,76.23126338,0.08571428571
27129600,45,46,0,3,NH4,148.6795146,76.23126338,0.125
27129600,58,59,0,3,NH4,46.0385439,76.23126338,0.02857142857
27129600,79,80,0,3,NH4,6.316916488,76.23126338,0.04166666667
27388800,23,24,0,3,NH4,7.851534618,76.23126338,0.0652173913
27388800,36,37,0,3,NH4,69.95003569,76.23126338,0.08571428571
27475200,58,59,0,3,NH4,18.55817273,76.23126338,0.02857142857
27993600,13,14,0,3,NH4,0.03568879372,76.23126338,0.04166666667
27993600,79,80,0,3,NH4,4.496788009,76.23126338,0.04166666667
28684800,58,59,0,3,NH4,17.13062099,76.23126338,0.02857142857
28771200,23,24,0,3,NH4,7.851534618,76.23126338,0.0652173913
28771200,36,37,0,3,NH4,49.25053533,76.23126338,0.08571428571
29289600,1,2,0,3,NH4,1.356174161,76.23126338,0.08333333333
29289600,13,14,0,3,NH4,0.03568879372,76.23126338,0.04166666667
29289600,36,37,0,3,NH4,207.6730906,76.23126338,0.08571428571
29289600,45,46,0,3,NH4,198.1084939,76.23126338,0.125
29289600,58,59,0,3,NH4,77.65881513,76.23126338,0.02857142857
29289600,79,80,0,3,NH4,8.279800143,76.23126338,0.04166666667
29894400,58,59,0,3,NH4,15.70306924,76.23126338,0.02857142857
29980800,23,24,0,3,NH4,6.423982869,76.23126338,0.0652173913
29980800,36,37,0,3,NH4,54.96074233,76.23126338,0.08571428571
30499200,13,14,0,3,NH4,1.53461813,76.23126338,0.04166666667
30499200,79,80,0,3,NH4,11.81299072,76.23126338,0.04166666667
777600,58,59,0,3,NO3,107.0663812,94.93219129,0.04347826087
864000,23,24,0,3,NO3,114.2041399,94.93219129,0.0652173913
864000,36,37,0,3,NO3,42.82655246,94.93219129,0.1304347826
3196800,58,59,0,3,NO3,47.82298358,94.93219129,0.04347826087
3283200,23,24,0,3,NO3,107.0663812,94.93219129,0.0652173913
3283200,36,37,0,3,NO3,99.92862241,94.93219129,0.1304347826
4406400,58,59,0,3,NO3,40.68522484,94.93219129,0.04347826087
4492800,23,24,0,3,NO3,49.96431121,94.93219129,0.0652173913
4492800,36,37,0,3,NO3,116.3454675,94.93219129,0.1304347826
5702400,23,24,0,3,NO3,69.23625981,94.93219129,0.0652173913
5702400,36,37,0,3,NO3,94.93219129,94.93219129,0.1304347826
5788800,58,59,0,3,NO3,28.55103498,94.93219129,0.04347826087
6912000,58,59,0,3,NO3,71.37758744,94.93219129,0.04347826087
6998400,23,24,0,3,NO3,94.93219129,94.93219129,0.0652173913
6998400,36,37,0,3,NO3,116.3454675,94.93219129,0.1304347826
8553600,23,24,0,3,NO3,71.37758744,94.93219129,0.0652173913
8553600,36,37,0,3,NO3,78.51534618,94.93219129,0.1304347826
8640000,58,59,0,3,NO3,28.55103498,94.93219129,0.04347826087
9763200,58,59,0,3,NO3,49.96431121,94.93219129,0.04347826087
9849600,36,37,0,3,NO3,9.279086367,94.93219129,0.1304347826
9936000,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
10972800,23,24,0,3,NO3,28.55103498,94.93219129,0.0652173913
10972800,36,37,0,3,NO3,49.96431121,94.93219129,0.1304347826
11059200,58,59,0,3,NO3,28.55103498,94.93219129,0.04347826087
12182400,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
12182400,36,37,0,3,NO3,35.68879372,94.93219129,0.1304347826
12268800,58,59,0,3,NO3,21.41327623,94.93219129,0.04347826087
13392000,23,24,0,3,NO3,49.96431121,94.93219129,0.0652173913
13392000,36,37,0,3,NO3,21.41327623,94.93219129,0.1304347826
13478400,58,59,0,3,NO3,21.41327623,94.93219129,0.04347826087
14601600,23,24,0,3,NO3,49.96431121,94.93219129,0.0652173913
14601600,36,37,0,3,NO3,28.55103498,94.93219129,0.1304347826
14688000,58,59,0,3,NO3,14.27551749,94.93219129,0.04347826087
15811200,58,59,0,3,NO3,21.41327623,94.93219129,0.04347826087
15897600,23,24,0,3,NO3,28.55103498,94.93219129,0.0652173913
15897600,36,37,0,3,NO3,35.68879372,94.93219129,0.1304347826
17193600,58,59,0,3,NO3,42.82655246,94.93219129,0.04347826087
17280000,23,24,0,3,NO3,35.68879372,94.93219129,0.0652173913
17280000,36,37,0,3,NO3,35.68879372,94.93219129,0.1304347826
18403200,58,59,0,3,NO3,35.68879372,94.93219129,0.04347826087
18489600,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
18489600,36,37,0,3,NO3,49.96431121,94.93219129,0.1304347826
19612800,23,24,0,3,NO3,49.96431121,94.93219129,0.0652173913
19612800,36,37,0,3,NO3,28.55103498,94.93219129,0.1304347826
19612800,58,59,0,3,NO3,28.55103498,94.93219129,0.04347826087
20736000,23,24,0,3,NO3,57.10206995,94.93219129,0.0652173913
20736000,36,37,0,3,NO3,35.68879372,94.93219129,0.1304347826
20822400,58,59,0,3,NO3,21.41327623,94.93219129,0.04347826087
22464000,58,59,0,3,NO3,85.65310493,94.93219129,0.04347826087
22550400,23,24,0,3,NO3,64.23982869,94.93219129,0.0652173913
22550400,36,37,0,3,NO3,21.41327623,94.93219129,0.1304347826
23760000,36,37,0,3,NO3,14.27551749,94.93219129,0.1304347826
23760000,58,59,0,3,NO3,21.41327623,94.93219129,0.04347826087
23932800,23,24,0,3,NO3,57.10206995,94.93219129,0.0652173913
25056000,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
25056000,36,37,0,3,NO3,28.55103498,94.93219129,0.1304347826
25142400,58,59,0,3,NO3,49.96431121,94.93219129,0.04347826087
26265600,58,59,0,3,NO3,42.82655246,94.93219129,0.04347826087
26352000,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
26352000,36,37,0,3,NO3,28.55103498,94.93219129,0.1304347826
27388800,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
27388800,36,37,0,3,NO3,21.41327623,94.93219129,0.1304347826
27475200,58,59,0,3,NO3,35.68879372,94.93219129,0.04347826087
28684800,58,59,0,3,NO3,35.68879372,94.93219129,0.04347826087
28771200,23,24,0,3,NO3,64.23982869,94.93219129,0.0652173913
28771200,36,37,0,3,NO3,28.55103498,94.93219129,0.1304347826
29894400,58,59,0,3,NO3,42.82655246,94.93219129,0.04347826087
29980800,23,24,0,3,NO3,42.82655246,94.93219129,0.0652173913
29980800,36,37,0,3,NO3,28.55103498,94.93219129,0.1304347826
86400,13,14,0,3,O2,134.53125,169.296875,0.0625
86400,79,80,0,3,O2,142.8125,169.296875,0.0652173913
777600,58,59,0,3,O2,106.875,169.296875,0.0652173913
864000,23,24,0,3,O2,94.375,169.296875,0.09782608696
864000,36,37,0,3,O2,52.8125,169.296875,0.2045454545
1209600,1,2,0,3,O2,140.78125,169.296875,0.1363636364
1209600,13,14,0,3,O2,132.65625,169.296875,0.0625
1209600,79,80,0,3,O2,127.1875,169.296875,0.0652173913
3196800,58,59,0,3,O2,65.3125,169.296875,0.0652173913
3283200,23,24,0,3,O2,90,169.296875,0.09782608696
3283200,36,37,0,3,O2,45,169.296875,0.2045454545
3628800,13,14,0,3,O2,194.21875,169.296875,0.0625
4406400,58,59,0,3,O2,55.3125,169.296875,0.0652173913
4492800,23,24,0,3,O2,131.5625,169.296875,0.09782608696
4492800,36,37,0,3,O2,44.6875,169.296875,0.2045454545
4838400,13,14,0,3,O2,159.0625,169.296875,0.0625
4838400,79,80,0,3,O2,139.21875,169.296875,0.0652173913
5702400,23,24,0,3,O2,118.75,169.296875,0.09782608696
5702400,36,37,0,3,O2,64.0625,169.296875,0.2045454545
5788800,58,59,0,3,O2,56.5625,169.296875,0.0652173913
6307200,13,14,0,3,O2,133.125,169.296875,0.0625
6307200,79,80,0,3,O2,156.5625,169.296875,0.0652173913
6912000,58,59,0,3,O2,44.0625,169.296875,0.0652173913
6998400,23,24,0,3,O2,146.875,169.296875,0.09782608696
6998400,36,37,0,3,O2,106.875,169.296875,0.2045454545
7344000,1,2,0,3,O2,194.84375,169.296875,0.1363636364
7344000,13,14,0,3,O2,206.40625,169.296875,0.0625
7344000,79,80,0,3,O2,196.40625,169.296875,0.0652173913
8553600,23,24,0,3,O2,124.0625,169.296875,0.09782608696
8553600,36,37,0,3,O2,34.375,169.296875,0.2045454545
8640000,58,59,0,3,O2,43.125,169.296875,0.0652173913
8726400,13,14,0,3,O2,151.5625,169.296875,0.0625
8726400,79,80,0,3,O2,154.375,169.296875,0.0652173913
9763200,58,59,0,3,O2,43.75,169.296875,0.0652173913
9849600,36,37,0,3,O2,42.8125,169.296875,0.2045454545
9936000,23,24,0,3,O2,122.1875,169.296875,0.09782608696
10108800,1,2,0,3,O2,214.84375,169.296875,0.1363636364
10108800,13,14,0,3,O2,163.125,169.296875,0.0625
10108800,79,80,0,3,O2,168.90625,169.296875,0.0652173913
10972800,23,24,0,3,O2,99.375,169.296875,0.09782608696
10972800,36,37,0,3,O2,54.6875,169.296875,0.2045454545
11059200,58,59,0,3,O2,52.8125,169.296875,0.0652173913
11577600,13,14,0,3,O2,181.5625,169.296875,0.0625
11577600,79,80,0,3,O2,113.59375,169.296875,0.0652173913
12182400,23,24,0,3,O2,81.875,169.296875,0.09782608696
12182400,36,37,0,3,O2,77.1875,169.296875,0.2045454545
12268800,58,59,0,3,O2,55.625,169.296875,0.0652173913
12787200,1,2,0,3,O2,163.59375,169.296875,0.1363636364
12787200,13,14,0,3,O2,125,169.296875,0.0625
12787200,79,80,0,3,O2,157.65625,169.296875,0.0652173913
13392000,23,24,0,3,O2,102.1875,169.296875,0.09782608696
13392000,36,37,0,3,O2,40.9375,169.296875,0.2045454545
13478400,58,59,0,3,O2,60.3125,169.296875,0.0652173913
13996800,13,14,0,3,O2,200.78125,169.296875,0.0625
13996800,79,80,0,3,O2,164.6875,169.296875,0.0652173913
14601600,23,24,0,3,O2,87.5,169.296875,0.09782608696
14601600,36,37,0,3,O2,40.3125,169.296875,0.2045454545
14688000,58,59,0,3,O2,115.3125,169.296875,0.0652173913
15206400,1,2,0,3,O2,182.65625,169.296875,0.1363636364
15206400,13,14,0,3,O2,141.09375,169.296875,0.0625
15206400,79,80,0,3,O2,171.71875,169.296875,0.0652173913
15811200,58,59,0,3,O2,86.5625,169.296875,0.0652173913
15897600,23,24,0,3,O2,103.75,169.296875,0.09782608696
15897600,36,37,0,3,O2,39.375,169.296875,0.2045454545
16502400,13,14,0,3,O2,159.53125,169.296875,0.0625
16502400,79,80,0,3,O2,137.03125,169.296875,0.0652173913
17193600,58,59,0,3,O2,83.4375,169.296875,0.0652173913
17280000,23,24,0,3,O2,131.25,169.296875,0.09782608696
17280000,36,37,0,3,O2,68.125,169.296875,0.2045454545
17712000,1,2,0,3,O2,161.09375,169.296875,0.1363636364
17712000,13,14,0,3,O2,134.6875,169.296875,0.0625
17712000,79,80,0,3,O2,169.6875,169.296875,0.0652173913
18403200,58,59,0,3,O2,100.625,169.296875,0.0652173913
18489600,23,24,0,3,O2,153.4375,169.296875,0.09782608696
18489600,36,37,0,3,O2,41.5625,169.296875,0.2045454545
19094400,13,14,0,3,O2,110,169.296875,0.0625
19094400,79,80,0,3,O2,171.09375,169.296875,0.0652173913
19612800,23,24,0,3,O2,115.9375,169.296875,0.09782608696
19612800,36,37,0,3,O2,68.4375,169.296875,0.2045454545
19612800,58,59,0,3,O2,116.25,169.296875,0.0652173913
20304000,1,2,0,3,O2,168.59375,169.296875,0.1363636364
20304000,13,14,0,3,O2,102.5,169.296875,0.0625
20304000,79,80,0,3,O2,142.1875,169.296875,0.0652173913
20736000,23,24,0,3,O2,101.5625,169.296875,0.09782608696
20822400,58,59,0,3,O2,109.375,169.296875,0.0652173913
21513600,13,14,0,3,O2,122.5,169.296875,0.0625
21513600,79,80,0,3,O2,159.53125,169.296875,0.0652173913
22464000,58,59,0,3,O2,101.875,169.296875,0.0652173913
22550400,23,24,0,3,O2,81.25,169.296875,0.09782608696
22550400,36,37,0,3,O2,66.875,169.296875,0.2045454545
22809600,1,2,0,3,O2,167.1875,169.296875,0.1363636364
22809600,13,14,0,3,O2,133.125,169.296875,0.0625
22809600,79,80,0,3,O2,141.5625,169.296875,0.0652173913
23760000,36,37,0,3,O2,70.9375,169.296875,0.2045454545
23760000,58,59,0,3,O2,106.875,169.296875,0.0652173913
23932800,23,24,0,3,O2,107.1875,169.296875,0.09782608696
24278400,1,2,0,3,O2,132.65625,169.296875,0.1363636364
24278400,13,14,0,3,O2,174.6875,169.296875,0.0625
24278400,79,80,0,3,O2,159.6875,169.296875,0.0652173913
25056000,23,24,0,3,O2,136.25,169.296875,0.09782608696
25056000,36,37,0,3,O2,32.8125,169.296875,0.2045454545
25142400,58,59,0,3,O2,59.375,169.296875,0.0652173913
25488000,13,14,0,3,O2,139.21875,169.296875,0.0625
25488000,79,80,0,3,O2,152.8125,169.296875,0.0652173913
26265600,58,59,0,3,O2,101.25,169.296875,0.0652173913
26352000,23,24,0,3,O2,144.6875,169.296875,0.09782608696
26352000,36,37,0,3,O2,36.5625,169.296875,0.2045454545
27129600,1,2,0,3,O2,146.5625,169.296875,0.1363636364
27129600,13,14,0,3,O2,161.09375,169.296875,0.0625
27129600,79,80,0,3,O2,136.09375,169.296875,0.0652173913
27388800,23,24,0,3,O2,79.0625,169.296875,0.09782608696
27388800,36,37,0,3,O2,49.0625,169.296875,0.2045454545
27475200,58,59,0,3,O2,65.3125,169.296875,0.0652173913
27993600,13,14,0,3,O2,172.1875,169.296875,0.0625
27993600,79,80,0,3,O2,123.125,169.296875,0.0652173913
28684800,58,59,0,3,O2,112.5,169.296875,0.0652173913
28771200,23,24,0,3,O2,111.25,169.296875,0.09782608696
28771200,36,37,0,3,O2,32.5,169.296875,0.2045454545
29289600,1,2,0,3,O2,164.84375,169.296875,0.1363636364
29289600,13,14,0,3,O2,130.15625,169.296875,0.0625
29289600,79,80,0,3,O2,167.03125,169.296875,0.0652173913
29894400,58,59,0,3,O2,45,169.296875,0.0652173913
29980800,23,24,0,3,O2,58.75,169.296875,0.09782608696
29980800,36,37,0,3,O2,43.4375,169.296875,0.2045454545
30499200,13,14,0,3,O2,111.09375,169.296875,0.0625
30499200,79,80,0,3,O2,121.71875,169.296875,0.0652173913
777600,58,59,0,3,Si,16.73193307,68.70772517,0.02173913043
864000,23,24,0,3,Si,63.01174795,68.70772517,0.03260869565
864000,36,37,0,3,Si,132.7874689,68.70772517,0.0652173913
3196800,58,59,0,3,Si,24.20790317,68.70772517,0.02173913043
3283200,23,24,0,3,Si,108.5795657,68.70772517,0.03260869565
3283200,36,37,0,3,Si,4.271982912,68.70772517,0.0652173913
4406400,58,59,0,3,Si,1.77999288,68.70772517,0.02173913043
4492800,23,24,0,3,Si,13.17194731,68.70772517,0.03260869565
4492800,36,37,0,3,Si,45.9238163,68.70772517,0.0652173913
5702400,23,24,0,3,Si,17.08793165,68.70772517,0.03260869565
5702400,36,37,0,3,Si,48.77180491,68.70772517,0.0652173913
5788800,58,59,0,3,Si,7.11997152,68.70772517,0.02173913043
6912000,58,59,0,3,Si,36.66785333,68.70772517,0.02173913043
6998400,23,24,0,3,Si,30.97187611,68.70772517,0.03260869565
6998400,36,37,0,3,Si,43.78782485,68.70772517,0.0652173913
8553600,23,24,0,3,Si,72.97970808,68.70772517,0.03260869565
8553600,36,37,0,3,Si,19.93592026,68.70772517,0.0652173913
8640000,58,59,0,3,Si,38.09184763,68.70772517,0.02173913043
9763200,58,59,0,3,Si,24.91990032,68.70772517,0.02173913043
9849600,36,37,0,3,Si,16.73193307,68.70772517,0.0652173913
9936000,23,24,0,3,Si,49.83980064,68.70772517,0.03260869565
10972800,23,24,0,3,Si,67.99572802,68.70772517,0.03260869565
10972800,36,37,0,3,Si,34.88786045,68.70772517,0.0652173913
11059200,58,59,0,3,Si,31.68387326,68.70772517,0.02173913043
12182400,23,24,0,3,Si,31.68387326,68.70772517,0.03260869565
12182400,36,37,0,3,Si,8.187967248,68.70772517,0.0652173913
12268800,58,59,0,3,Si,34.88786045,68.70772517,0.02173913043
13392000,23,24,0,3,Si,29.90388038,68.70772517,0.03260869565
13392000,36,37,0,3,Si,28.1238875,68.70772517,0.0652173913
13478400,58,59,0,3,Si,23.13990744,68.70772517,0.02173913043
14601600,23,24,0,3,Si,19.93592026,68.70772517,0.03260869565
14601600,36,37,0,3,Si,14.95194019,68.70772517,0.0652173913
14688000,58,59,0,3,Si,28.1238875,68.70772517,0.02173913043
15811200,58,59,0,3,Si,24.91990032,68.70772517,0.02173913043
15897600,23,24,0,3,Si,23.13990744,68.70772517,0.03260869565
15897600,36,37,0,3,Si,36.66785333,68.70772517,0.0652173913
17193600,58,59,0,3,Si,28.1238875,68.70772517,0.02173913043
17280000,23,24,0,3,Si,41.65183339,68.70772517,0.03260869565
17280000,36,37,0,3,Si,43.0758277,68.70772517,0.0652173913
18403200,58,59,0,3,Si,19.93592026,68.70772517,0.02173913043
18489600,23,24,0,3,Si,31.68387326,68.70772517,0.03260869565
18489600,36,37,0,3,Si,19.93592026,68.70772517,0.0652173913
19612800,23,24,0,3,Si,21.71591314,68.70772517,0.03260869565
19612800,36,37,0,3,Si,28.1238875,68.70772517,0.0652173913
19612800,58,59,0,3,Si,28.1238875,68.70772517,0.02173913043
20736000,23,24,0,3,Si,51.61979352,68.70772517,0.03260869565
20736000,36,37,0,3,Si,28.1238875,68.70772517,0.0652173913
20822400,58,59,0,3,Si,26.6998932,68.70772517,0.02173913043
22464000,58,59,0,3,Si,16.73193307,68.70772517,0.02173913043
22550400,23,24,0,3,Si,28.1238875,68.70772517,0.03260869565
22550400,36,37,0,3,Si,28.1238875,68.70772517,0.0652173913
23760000,36,37,0,3,Si,16.73193307,68.70772517,0.0652173913
23760000,58,59,0,3,Si,26.6998932,68.70772517,0.02173913043
23932800,23,24,0,3,Si,19.93592026,68.70772517,0.03260869565
25056000,23,24,0,3,Si,33.10786757,68.70772517,0.03260869565
25056000,36,37,0,3,Si,82.94766821,68.70772517,0.0652173913
25142400,58,59,0,3,Si,23.13990744,68.70772517,0.02173913043
26265600,58,59,0,3,Si,44.85582058,68.70772517,0.02173913043
26352000,23,24,0,3,Si,38.09184763,68.70772517,0.03260869565
26352000,36,37,0,3,Si,81.52367391,68.70772517,0.0652173913
27388800,23,24,0,3,Si,71.55571378,68.70772517,0.03260869565
27388800,36,37,0,3,Si,46.63581346,68.70772517,0.0652173913
27475200,58,59,0,3,Si,48.05980776,68.70772517,0.02173913043
28684800,58,59,0,3,Si,41.65183339,68.70772517,0.02173913043
28771200,23,24,0,3,Si,66.57173371,68.70772517,0.03260869565
